问题,选项A,选项B,选项C,分类,提示
如果没牙膏了，你会选择？,挤牙膏管,卷牙膏管,,日常,
闹钟响了但还很困，你会？,再睡五分钟,立刻起床,,日常,
吃泡面时，你会先放？,调味粉,脱水蔬菜,,日常,
洗澡时突然停水，你会？,擦干走出浴室,等水恢复再说,,日常,
外送到了，你通常会？,马上开吃,先拍照再吃,,日常,
看到一排电梯，你会按？,左边那台,右边那台,,日常,
冰箱只剩一颗蛋和白饭，你会？,做蛋炒饭,叫外送,,日常,
下雨天出门，你会带？,雨伞,雨衣,,日常,
看到消息「在吗」，你会？,立刻回覆,假装没看到,,日常,
排队结帐时，你会站？,人少但慢的队伍,人多但看起来快的队伍,,日常,
珍珠奶茶的珍珠，你会？,一口吸光,慢慢咀嚼,,美食,
薯条沾酱，你偏好？,番茄酱,蜂蜜芥末,,美食,
吃火锅最后一口，你会留给？,肉片,青菜,,美食,
早餐只能选一样，你会？,蛋饼,三明治,,美食,
咖啡加糖，你会加？,一匙糖,完全不加,,美食,
吃汉堡时，你会先吃？,面包边,中间馅料,,美食,
珍珠奶茶喝完后，你会？,把冰块也咬掉,留下冰块,,美食,
披萨最重要的是？,起司多,配料多,,美食,
你会把可乐倒进？,玻璃杯,直接对瓶喝,,美食,
吃鸡翅时，你会先？,吃外皮,啃骨头旁的肉,,美食,
看电影时，你偏好？,坐第一排附近,坐最后一排附近,,娱乐,
唱 KTV 的第一首歌，你会选？,拿手歌,大家都会唱的歌,,娱乐,
追剧时遇到片尾，你会？,立刻按下一集,先休息一下,,娱乐,
游戏开局前，你会先？,研究规则,直接玩再说,,娱乐,
你比较常重看？,喜剧,动作片,,娱乐,
周末晚上，你会选？,出门聚会,在家耍废,,娱乐,
手机游戏抽卡前，你会？,先存很多抽,有一抽就试,,娱乐,
演唱会中场，你会？,补水休息,继续站在原地,,娱乐,
看恐怖片时，你会？,摀住眼睛,盯着荧幕看,,娱乐,
桌游输了之后，你会？,马上再来一局,换一款游戏,,娱乐,
你收到一份神秘礼物，会？,立刻拆开,先猜里面是什么,,个性,
朋友迟到时，你会？,传消息催他,安静等候,,个性,
做决定时，你比较依靠？,直觉,分析,,个性,
旅行行李，你会？,提早整理,最后一晚才整理,,个性,
看到尴尬场面，你会？,出声解围,假装没发生,,个性,
你更怕哪种状况？,冷场,迷路,,个性,
开会时，你通常？,主动发言,先听大家说,,个性,
朋友邀请你临时出门，你会？,爽快答应,看心情再回,,个性,
你喜欢收到？,实用的礼物,有纪念性的礼物,,个性,
遇到问题时，你会先？,自己想办法,找人讨论,,个性,
到新城市第一天，你会？,逛景点,找在地美食,,旅行,
旅行住宿，你偏好？,饭店,民宿,,旅行,
搭长途交通工具，你会？,看窗外风景,戴耳机睡觉,,旅行,
旅行中迷路时，你会？,打开地图,问路人,,旅行,
海边和山上，你选？,海边,山上,,旅行,
拍照时你会？,拍风景,拍自己,,旅行,
旅程结束前，你会买？,伴手礼,什么都不买,,旅行,
坐飞机时，你选？,靠窗座位,靠走道座位,,旅行,
旅行计划，你会排？,满满行程,留很多空白,,旅行,
报告截止日，你会？,提早完成,最后冲刺,,职场校园,
办公桌上最常出现？,咖啡杯,零食袋,,职场校园,
午休时，你会？,睡午觉,滑手机,,职场校园,
做笔记时，你偏好？,纸本,平板,,职场校园,
上课点名时，你会？,大声回答,举手示意,,职场校园,
团队合作中，你更像？,统筹的人,执行的人,,职场校园,
下班后看到工作消息，你会？,先回覆,明天再回,,职场校园,
简报字体，你会用？,大字少内容,小字多内容,,职场校园,
考试前一天，你会？,读到深夜,早点睡觉,,职场校园,
会议中有人离题，你会？,拉回主题,让他继续说,,职场校园,
如果能瞬间学会一项技能，你选？,弹奏所有乐器,说所有语言,,脑洞,
如果中奖一百万，你会先？,存起来,立刻旅行,,脑洞,
如果能回到过去，你会？,改变一个决定,只看看当时的自己,,脑洞,
如果房间只能留一件家具，你留？,床,书桌,,脑洞,
如果宠物会说话，你最想问？,你在想什么,你最喜欢什么,,脑洞,
如果今天不用工作，你会？,睡一整天,安排一场冒险,,脑洞,
如果只能选一个超能力，你要？,隐形,飞行,,脑洞,
如果能和一位名人吃饭，你选？,喜欢的演员,厉害的科学家,,脑洞,
如果明天世界只剩一种颜色，你选？,绿色,橘色,,脑洞,
如果要搬去另一个时代，你选？,复古年代,未来世界,,脑洞,
最适合周末早晨的饮料是？,咖啡,奶茶,果汁,日常,
手机只剩 1% 电，你会先？,找充电器,传最后一则消息,直接关机,日常,
你最常把东西放在哪里后找不到？,桌上,包包里,冰箱旁,日常,
下雨天最适合做什么？,看电影,睡觉,吃火锅,日常,
出门前最后会检查什么？,手机,钥匙,钱包,日常,
你一天中最期待哪个时段？,早上,下午,晚上,日常,
家里最容易堆满的是？,衣服,纸袋,外送餐具,日常,
洗衣服时最怕遇到？,袜子失踪,衣服染色,忘记晾,日常,
你最常用哪种方式记住事情？,手机提醒,写在纸上,靠自己记,日常,
房间最需要增加的是？,收纳空间,采光,插座,日常,
最强的宵夜组合是？,盐酥鸡,泡面,烧烤,美食,
便当里最不能少的是？,卤蛋,青菜,香肠,美食,
你会把哪一种食物留到最后吃？,肉,甜点,喜欢的配菜,美食,
早餐店最常点什么？,铁板面,汉堡,萝卜糕,美食,
火锅汤底你会选？,麻辣,番茄,昆布,美食,
你最想戒掉的饮料是？,汽水,手摇饮,能量饮,美食,
吃面时你最在意？,面条口感,汤头,配料份量,美食,
生日蛋糕口味你选？,巧克力,草莓,芋头,美食,
最适合配电影的零食是？,爆米花,洋芋片,软糖,美食,
你最不能接受的披萨配料是？,凤梨,玉米,青椒,美食,
聚会最容易出现的角色是？,迟到王,气氛王,拍照王,娱乐,
最适合一起看的片型是？,喜剧,悬疑,爱情,娱乐,
桌游中最让人崩溃的是？,抽不到牌,被队友背叛,规则太复杂,娱乐,
KTV 必点歌曲通常是？,情歌,摇滚歌,经典老歌,娱乐,
你看比赛时最常做什么？,大声加油,分析战术,安静看完,娱乐,
最想现场看的活动是？,音乐祭,球赛,电玩展,娱乐,
你最常在哪里滑手机？,床上,厕所,通勤路上,娱乐,
朋友家最可能出现什么？,投影机,牌桌,巨大音响,娱乐,
你最想解锁哪个成就？,环游世界,学会乐器,完成马拉松,娱乐,
看直播时你会？,留言互动,默默观看,中途离开,娱乐,
朋友最常用哪个词形容你？,可靠,好笑,龟毛,个性,
你生气时最需要？,独处,被安慰,吃东西,个性,
你最容易对什么心软？,流浪动物,朋友拜托,限时优惠,个性,
你做事的节奏比较像？,快狠准,慢慢来,看灵感,个性,
你最想改善的习惯是？,晚睡,拖延,乱花钱,个性,
你遇到陌生人会先？,主动聊天,微笑点头,保持距离,个性,
你最常为哪件事纠结？,吃什么,穿什么,要不要出门,个性,
你理想中的休假是？,完全放空,排满活动,陪家人朋友,个性,
你最怕哪种电话？,未知来电,主管来电,外送员来电,个性,
你最容易被哪种人说服？,讲道理的人,很有自信的人,熟悉的朋友,个性,
旅途中最重要的是？,美食,风景,同行的人,旅行,
你最想去的旅行地形是？,海岛,古城,大城市,旅行,
行程临时取消，你会？,重新安排,就地休息,直接回家,旅行,
旅行最怕忘记带什么？,充电器,证件,换洗衣物,旅行,
你会选哪种伴手礼？,零食,生活小物,纪念磁铁,旅行,
在机场你通常会？,逛免税店,找登机口,先吃东西,旅行,
你最想和谁一起旅行？,最好的朋友,家人,自己一个人,旅行,
旅馆房间你最在意？,床舒服,浴室干净,窗外景色,旅行,
你会把旅行照片放在哪里？,社交平台,私人相册,不整理,旅行,
旅行中你最想体验？,在地市场,户外活动,夜生活,旅行,
最有效率的工作时段是？,早上,下午,深夜,职场校园,
你最常用哪种待办清单？,纸本笔记,手机 App,脑内记忆,职场校园,
同事生日你会送？,蛋糕,饮料,小礼物,职场校园,
上台前你最怕？,忘词,冷场,设备故障,职场校园,
最想取消哪一种会议？,早会,长会议,没有议程的会议,职场校园,
你的办公桌最需要？,更大荧幕,更舒服的椅子,更好的灯,职场校园,
作业最常拖到什么时候？,前一天,截止前一晚,真的忘记,职场校园,
团队最需要哪种人？,点子王,细节控,救火队长,职场校园,
你最想学会哪种软体？,剪辑工具,设计工具,资料分析工具,职场校园,
下课钟响后你会？,马上离开,留下聊天,继续完成事情,职场校园,
如果有一扇任意门，你先去哪里？,月球,童年家乡,梦想城市,脑洞,
